Particle,xFmax
254,1206.52
255,1342.39
256,1210.83
257,42.43
258,1156.94
259,1294.68
260,1209.34
261,1306.98
262,1358.01
263,1229.19
264,1334.54
265,1126.14
266,1185.33
267,1241.97
268,1142.37
269,1153.17
270,1195.49
271,1255.39
272,1079.35
273,50
274,1133.71
275,1350
276,72.11
277,1274.4
278,78.1
279,1306.48
280,1135.08
281,67.08
282,1138.46
283,44.72
284,133.42
285,1241.69
286,1152.48
287,72.11
288,1311.87
289,1426.36
290,53.85
291,67.08
292,123.69
293,120.83
294,1261.94
295,1231.79
296,1258.77
297,1288.91
298,1269.21
299,1157.45
300,1220.25
301,114.02
302,82.46
303,1182.07
304,53.85
305,1168.12
306,1279.41
307,1342.39
308,1174.44
309,1318.56
310,1348.93
311,78.1
312,1203.33
313,1104.4
314,80.62
315,1325.44
316,1307.52
317,1138.11
318,1234.38
319,1214.62
320,1172.73
321,1193.65
322,44.72
323,1178.35
324,1129.25
325,1221.88
326,1200
327,1287.25
328,1391.76
329,1401.32
330,1094.81
331,1145.86
332,1159.53
333,1285.15
334,1148.26
335,98.49
336,94.34
337,1144.9
338,1325.75
339,1135.34
340,1240.85
341,1462.94
342,1165.59
343,1169.32
344,1314.69
345,1401.86
346,1224.3
347,1222.5
348,72.11
349,1318.48
350,1404.28
351,1176.48
352,1404.31
353,1145.86
354,80.62
355,1363.3
356,1261.27
357,1376.12
358,1172.73
359,1158.02
360,1168.29
361,1201.67
362,1329.25
363,1177.45
364,1176.61
365,1355.95
366,1244.87
367,1154.34
368,1290.35
369,1264.91
370,64.03
371,1239.88
372,50
373,1138.99
374,53.85
375,1270.04
376,1283.2
377,1243.42
378,50
379,1142.8
380,1210.78
381,1292.59
382,1253
383,1238.22
384,1191.01
385,1215.98
386,1298.38
387,63.25
388,1215.98
389,50
390,1168.67
391,1173.88
392,1367.52
393,1392.84
394,64.03
395,1172.01
396,1230.04
397,1266.25
398,1127.87
399,1360.33
400,1161.08
401,1306.79
402,1183.09
403,1146.12
404,1288.76
405,1300.35
406,1102.23
407,1264.79
408,1218.24
409,1244.03
410,1156.94
411,1198.54
412,1104.36
413,1250.28
414,1170.04
415,1151.35
416,1453.99
417,1220.66
418,1107.25
419,1235.56
420,1143.9
421,1198.54
422,67.08
423,64.03
424,1296.3
425,1126.41
426,1318.48
427,1146.91
428,1243.42
429,1167.26
430,1401.18
431,1176.14
432,1216.31
433,1243.26
434,1193.31
435,1174.27
436,1151.09
437,53.85
438,1248.88
439,1322.8
440,53.85
441,64.03
442,1172.9
443,72.8
444,1344.8
445,1158.02
446,1630.49
447,1212.77
448,1142.32
449,72.11
450,84.85
451,1174.78
452,1022.15
453,1208.39
454,72.11
455,80.62
456,58.31
457,1228.01
458,1414.96
459,1160.9
460,1170.47
461,1230.04
462,1206.03
463,1116.29
464,1210.37
465,1266.57
466,1152.48
467,76.16
468,78.1
469,1326.08
470,1148.09
471,1285.5
472,1172.01
473,1218.24
474,1317.27
475,1138.86
476,1128.72
477,1108.6
478,1126.06
479,98.49
480,1210.83
481,1234.71
482,70.71
483,1130.18
484,1243.42
485,58.31
486,63.25
487,1224.83
488,1151.35
489,1192.18
